bench_id,date,hw_profile,engine_ver,model,quant,tp,dp,max_num_batched_tokens,max_num_seqs,prefix_cache,batch_invariant,concurrency,input_len,output_len,tok_s_output,tok_s_total,ttft_p50_ms,ttft_p99_ms,itl_p50_ms,itl_p99_ms,kv_cache_usage,notes
p18-Qwen3-8B-bf16-mnbt2048-c32,2026-09-02,borrowed-2026-09,vllm-0.28.0,Qwen/Qwen3-8B,bf16,1,1,2048,128,default(on),0,32,1500,128,270.69,3442.86,5511.06,11332.85,33.317,375.941,0.882,num_prompts=200;dur=94.6s;completed=200
p18-Qwen3-8B-w8a8-int8-mnbt2048-c32,2026-09-02,borrowed-2026-09,vllm-0.28.0,nytopop/Qwen3-8B.w8a8,w8a8-int8,1,1,2048,128,default(on),0,32,1500,128,459.09,5839.1,1090.64,4118.02,26.937,277.127,0.635,num_prompts=200;dur=55.8s;completed=200
p18-Qwen3-8B-w4a16-awq-mnbt2048-c32,2026-09-02,borrowed-2026-09,vllm-0.28.0,Qwen/Qwen3-8B-AWQ,w4a16-awq,1,1,2048,128,default(on),0,32,1500,128,347.63,4421.48,1748.34,6677.01,22.416,445.736,0.505,num_prompts=200;dur=73.6s;completed=200
p18-Qwen3-8B-w8a8-int8-mnbt2048-c128,2026-09-02,borrowed-2026-09,vllm-0.28.0,nytopop/Qwen3-8B.w8a8,w8a8-int8,1,1,2048,128,default(on),0,128,1500,128,416.75,5300.52,23071.95,34942.42,38.407,312.221,0.993,num_prompts=400;dur=122.9s;completed=400
p18-Qwen3-14B-w8a8-int8-mnbt2048-c32,2026-09-02,borrowed-2026-09,vllm-0.28.0,nytopop/Qwen3-14B.w8a8,w8a8-int8,1,1,2048,128,default(on),0,32,1500,128,218.25,2775.91,10416.59,14300.22,35.341,457.818,0.909,num_prompts=200;dur=117.3s;completed=200
p18-Qwen3-8B-bf16-mnbt2048-c128,2026-09-02,borrowed-2026-09,vllm-0.28.0,Qwen/Qwen3-8B,bf16,1,1,2048,128,default(on),0,128,1500,128,264.52,3364.31,51511.29,58806.35,33.568,381.451,0.928,num_prompts=400;dur=193.6s;completed=400
p18-Qwen3-14B-w4a16-awq-mnbt2048-c32,2026-09-02,borrowed-2026-09,vllm-0.28.0,Qwen/Qwen3-14B-AWQ,w4a16-awq,1,1,2048,128,default(on),0,32,1500,128,209.18,2660.45,3084.75,12729.1,29.437,778.154,0.781,num_prompts=200;dur=122.4s;completed=200
p18-Qwen3-8B-w4a16-awq-mnbt2048-c128,2026-09-02,borrowed-2026-09,vllm-0.28.0,Qwen/Qwen3-8B-AWQ,w4a16-awq,1,1,2048,128,default(on),0,128,1500,128,288.18,3665.29,30349.25,48530.17,48.528,505.681,0.997,num_prompts=400;dur=177.7s;completed=400
p18-Qwen3-8B-w8a8-int8-mnbt2048-c512,2026-09-02,borrowed-2026-09,vllm-0.28.0,nytopop/Qwen3-8B.w8a8,w8a8-int8,1,1,2048,128,default(on),0,512,1500,128,412.16,5242.11,88067.72,155961.86,38.58,314.057,0.996,num_prompts=600;dur=186.3s;completed=600
p18-Qwen3-14B-w8a8-int8-mnbt2048-c128,2026-09-02,borrowed-2026-09,vllm-0.28.0,nytopop/Qwen3-14B.w8a8,w8a8-int8,1,1,2048,128,default(on),0,128,1500,128,215.43,2740.02,64845.02,71876.49,35.559,464.356,0.961,num_prompts=400;dur=237.7s;completed=400
